"DeclarableId","MLOC","WMC","CWMC","DIT","NOC","CBO","RFC","LCOM","NOU","LC"
"org.elasticsearch.index.mapper.LuceneDocument",98,36,23,0,0,41,28,4,18,0
"org.elasticsearch.index.engine.RecoverySourcePruneMergePolicy",151,7,6,1,0,68,15,1,2,1
"org.elasticsearch.action.admin.cluster.snapshots.restore.RestoreSnapshotRequest",373,112,63,0,0,196,56,1,50,0
"org.elasticsearch.action.admin.cluster.repositories.verify.VerifyRepositoryResponse",112,17,4,3,0,49,14,2,13,2
"org.elasticsearch.plugins.PluginBundle",55,16,9,0,0,22,16,1,8,0
"org.elasticsearch.rest.action.admin.cluster.RestDeleteDesiredNodesAction",17,3,0,1,0,11,10,3,3,1
"org.elasticsearch.snapshots.SearchableSnapshotsSettings",29,6,2,0,0,18,6,2,4,0
"org.elasticsearch.snapshots.RestoreService",1360,176,233,0,0,1052,209,1,32,34
"org.elasticsearch.search.aggregations.bucket.filter.FiltersAggregationBuilder",250,72,74,0,0,176,55,5,23,2
"org.elasticsearch.common.lucene.search.SpanBooleanQueryRewriteWithMaxClause",66,15,18,0,0,31,25,1,5,0
"org.elasticsearch.rest.action.admin.indices.RestIndicesAliasesAction",20,4,1,1,0,19,18,3,3,1
"org.elasticsearch.repositories.Repository",71,24,0,2,0,14,31,22,24,2
"org.elasticsearch.action.admin.indices.template.delete.DeleteIndexTemplateAction",7,1,0,0,0,6,0,1,1,0
"org.elasticsearch.transport.TransportResponse",13,2,0,1,10,28,0,1,2,0
"org.elasticsearch.search.dfs.DfsKnnResults",15,4,0,0,0,4,3,1,4,0
"org.elasticsearch.action.admin.indices.get.TransportGetIndexAction",98,14,26,0,0,22,16,2,3,2
"org.elasticsearch.search.aggregations.bucket.terms.SignificantTerms",12,2,0,3,0,0,2,2,2,0
"org.elasticsearch.search.rescore.RescorePhase",32,11,9,0,0,32,12,1,2,0
"org.elasticsearch.search.aggregations.metrics.PercentilesAggregationBuilder",98,20,8,0,0,27,17,5,14,1
"org.elasticsearch.action.admin.indices.mapping.put.AutoPutMappingAction",7,1,0,0,0,4,0,1,1,0
"org.elasticsearch.action.admin.indices.shrink.ShrinkAction",7,1,0,0,0,1,0,1,1,0
